MCC,ZIPCode,Currency,CardType,Device,Flag
3590,154,2,2,3,Fraud
7277,310,1,1,2,Fraud
9297,209,3,3,2,Fraud
5686,245,3,3,3,Normal
2940,1,2,2,1,Fraud
9661,94,3,1,2,Fraud
8036,2,3,2,1,Normal
5678,79,1,3,2,Normal
5772,99,1,3,1,Normal
8521,6,3,3,3,Fraud
2861,76,1,1,2,Fraud
9217,293,1,1,3,Normal
7385,145,2,3,2,Fraud
8648,287,3,3,2,Normal
3001,312,1,2,1,Normal
2162,42,3,3,2,Fraud
1654,62,2,3,2,Fraud
8544,123,2,2,1,Normal
9263,313,2,2,1,Fraud
3962,74,2,2,3,Normal
5122,114,3,2,3,Normal
1551,181,2,3,2,Normal
4751,56,3,2,3,Fraud
1046,170,2,1,2,Normal
9491,188,1,2,1,Normal
4830,84,3,3,2,Normal
3197,154,2,3,3,Fraud
1655,91,3,2,1,Fraud
6818,34,3,1,2,Fraud
8174,153,1,3,2,Fraud
2954,137,2,2,2,Normal
7166,123,2,1,3,Normal
9106,176,3,1,1,Normal
2539,126,2,2,2,Fraud
8801,179,3,2,2,Normal
1777,199,1,1,2,Normal
8190,181,1,1,3,Fraud
1946,264,1,1,2,Fraud
1455,130,1,2,2,Fraud
3102,63,3,1,2,Fraud
1880,137,2,3,1,Fraud
2558,131,1,3,2,Fraud
2091,103,1,2,2,Normal
6541,311,3,3,2,Normal
2280,274,3,3,3,Fraud
7971,171,2,3,3,Fraud
7587,36,2,1,2,Fraud
6762,308,3,1,3,Normal
3507,93,2,3,2,Fraud
9592,127,1,1,1,Fraud
8084,95,1,2,3,Fraud
1378,256,1,2,2,Normal
3271,27,3,2,1,Normal
7267,226,1,3,3,Normal
7258,124,2,1,2,Fraud
5382,22,2,1,3,Normal
4931,183,1,1,2,Normal
8373,278,1,3,2,Fraud
9420,94,1,3,3,Normal
9303,30,2,1,2,Fraud
6935,295,2,3,3,Normal
7695,34,3,1,1,Fraud
3729,11,2,2,2,Normal
5307,32,1,3,2,Fraud
5000,27,3,3,2,Fraud
8161,156,2,3,3,Normal
9545,298,2,3,3,Normal
6816,17,2,3,2,Fraud
3533,16,3,3,2,Fraud
5238,261,2,2,3,Normal
8953,240,1,3,3,Fraud
8007,69,3,1,2,Fraud
5347,147,3,3,3,Fraud
6641,248,3,3,3,Fraud
1899,212,3,2,3,Normal
1240,300,1,1,3,Normal
6113,4,2,3,3,Normal
3058,228,1,3,3,Fraud
3385,201,2,3,2,Fraud
4097,163,2,2,2,Normal
3865,59,1,2,2,Fraud
5109,97,3,3,1,Fraud
6765,84,1,1,3,Normal
3446,35,3,3,1,Fraud
3044,173,1,2,3,Fraud
9857,236,1,2,2,Normal
8926,218,2,2,2,Normal
8844,21,2,3,3,Fraud
8041,34,3,1,2,Normal
2703,289,1,2,2,Normal
2206,200,3,1,2,Fraud
6622,216,2,2,2,Fraud
3755,258,3,3,3,Normal
4739,301,3,3,1,Fraud
8680,30,1,1,1,Fraud
7096,20,1,2,2,Fraud
2057,300,1,1,1,Normal
1272,133,2,1,3,Fraud
6957,291,1,3,3,Normal
4103,191,2,2,3,Fraud
3852,294,1,2,2,Fraud
3582,149,2,1,1,Fraud
1988,8,3,2,2,Normal
2818,233,2,2,2,Fraud
4422,207,3,1,1,Normal
1826,148,1,2,1,Normal
1739,235,2,2,3,Normal
3020,263,1,3,1,Normal
6644,72,2,2,2,Fraud
7323,2,2,2,3,Normal
2452,264,2,1,3,Fraud
1625,131,2,1,1,Normal
4007,135,1,2,3,Normal
4823,82,3,3,2,Normal
7820,78,2,3,1,Normal
4597,79,1,3,1,Normal
4861,275,1,1,3,Normal
5608,174,2,1,3,Normal
3586,118,3,3,3,Normal
5247,4,1,1,2,Fraud
1898,133,3,2,1,Normal
1407,43,1,3,3,Normal
7235,34,3,3,2,Fraud
3263,35,1,3,1,Normal
5169,187,3,3,2,Fraud
5207,298,3,3,1,Fraud
1524,154,2,2,2,Normal
3743,76,1,3,3,Normal
4908,3,3,2,2,Fraud
5264,265,3,3,2,Fraud
6862,101,3,3,3,Normal
4874,25,2,3,2,Fraud
9751,281,2,2,3,Normal
7809,154,1,2,2,Normal
7303,22,1,1,1,Fraud
5231,93,1,1,3,Normal
5315,179,3,1,1,Normal
3905,259,3,2,2,Normal
7505,292,2,3,3,Normal
5216,89,2,2,1,Fraud
1064,96,2,1,2,Normal
8978,71,3,2,1,Fraud
5097,256,3,1,1,Normal
2886,302,1,2,1,Fraud
1932,5,2,1,3,Normal
6379,188,3,1,3,Normal
6331,225,3,1,1,Fraud
6945,178,1,1,1,Fraud
2008,67,3,3,2,Normal
9206,276,1,1,1,Fraud
5379,209,3,2,3,Fraud
9460,116,3,3,1,Normal
7854,161,2,2,2,Normal
2316,195,2,1,3,Fraud
3707,149,3,2,1,Normal
8748,279,1,3,1,Fraud
5724,25,2,2,1,Fraud
6791,201,1,1,2,Fraud
9488,208,3,3,1,Normal
7550,28,1,3,1,Normal
2594,303,3,2,3,Fraud
2470,156,2,3,3,Normal
2814,122,1,2,2,Normal
9453,41,2,1,2,Fraud
6568,62,1,3,2,Normal
4550,34,2,3,2,Fraud
2781,79,2,1,3,Normal
6807,56,2,2,2,Fraud
6137,150,1,2,1,Normal
9611,96,3,3,1,Fraud
3560,280,1,2,1,Fraud
1689,119,2,3,3,Fraud
7905,9,1,1,2,Normal
2878,259,2,1,1,Fraud
7781,30,1,2,2,Fraud
1814,208,1,1,1,Fraud
5082,157,3,1,2,Fraud
5555,296,2,1,1,Fraud
5328,153,3,2,1,Fraud
2898,182,1,2,2,Fraud
8444,198,3,2,1,Fraud
2813,115,1,1,3,Normal
1829,252,3,2,1,Normal
2644,162,3,3,3,Fraud
5530,236,3,3,1,Fraud
8651,265,2,1,1,Normal
9728,290,1,2,3,Fraud
9079,228,3,2,1,Fraud
7763,163,3,2,1,Normal
3370,107,3,1,3,Fraud
6745,99,1,1,1,Fraud
1349,141,1,2,3,Normal
6549,142,1,3,3,Normal
4840,92,1,3,2,Normal
9641,312,3,3,2,Fraud
6521,108,2,1,2,Normal
1948,216,2,1,3,Normal
8770,45,3,1,1,Fraud
5818,180,1,1,1,Normal
4324,40,1,1,3,Normal
3146,142,2,2,1,Normal
9824,115,2,2,1,Fraud
5368,17,3,3,3,Normal
6917,1,1,3,2,Fraud
3662,84,1,3,3,Fraud
1575,260,1,1,1,Normal
7775,73,2,1,1,Normal
9142,194,2,2,3,Fraud
4902,17,2,2,2,Normal
2161,223,1,2,3,Fraud
6462,131,1,3,2,Fraud
6025,260,2,3,3,Fraud
2511,180,2,1,3,Fraud
5535,29,3,1,1,Fraud
4066,162,1,3,1,Fraud
4622,42,3,1,1,Normal
8592,159,1,3,2,Normal
1610,73,1,2,3,Fraud
1365,11,2,2,3,Fraud
9816,288,2,2,3,Fraud
9499,211,1,2,1,Fraud
9472,39,2,2,1,Normal
1056,80,2,1,3,Normal
2695,60,2,2,1,Normal
7532,297,2,1,2,Fraud
8038,144,2,3,1,Normal
3133,288,2,1,3,Fraud
7355,172,2,2,3,Normal
6587,261,1,3,3,Normal
7746,34,2,3,1,Normal
5263,88,1,1,1,Normal
3238,239,1,1,2,Normal
9375,124,3,2,1,Fraud
9785,12,1,1,2,Normal
9814,249,1,2,2,Fraud
7734,161,2,1,1,Fraud
3421,295,3,3,2,Fraud
5382,35,1,3,3,Fraud
5158,49,1,2,1,Normal
7767,133,2,1,3,Fraud
3516,138,3,2,2,Normal
3500,285,1,2,2,Fraud
1240,234,3,2,1,Fraud
5829,309,2,1,3,Normal
9667,18,2,2,1,Fraud
3917,244,3,3,3,Normal
7939,154,3,1,3,Normal
4126,11,3,3,1,Fraud
5807,174,2,3,3,Normal
3492,67,1,3,3,Fraud
8625,123,3,1,1,Normal
2321,19,2,1,2,Fraud
5065,190,2,3,2,Fraud
2523,72,2,1,2,Normal
3408,111,2,2,3,Normal
2150,19,1,1,1,Fraud
6890,80,2,3,1,Fraud
